,year,fuel_type,installed_gw
1,2015,Nuclear,4.04
2,2016,Nuclear,4.04
3,2017,Nuclear,4.04
4,2018,Nuclear,4.04
5,2019,Nuclear,4.04
6,2020,Nuclear,4.04
7,2021,Nuclear,4.04
8,2022,Nuclear,4.04
9,2023,Nuclear,4.04
10,2024,Nuclear,4.04
13,2015,Biomass,0.35
14,2016,Biomass,0.35
15,2017,Biomass,0.35
16,2018,Biomass,0.4
17,2019,Biomass,0.41
18,2020,Biomass,0.41
19,2021,Biomass,0.41
20,2022,Biomass,0.41
21,2023,Biomass,0.41
22,2024,Biomass,0.41
25,2015,Fossil brown coal / lignite,8.33
26,2016,Fossil brown coal / lignite,7.93
27,2017,Fossil brown coal / lignite,8.54
28,2018,Fossil brown coal / lignite,8.45
29,2019,Fossil brown coal / lignite,8.15
30,2020,Fossil brown coal / lignite,7.7
31,2021,Fossil brown coal / lignite,7.25
32,2022,Fossil brown coal / lignite,7.16
33,2023,Fossil brown coal / lignite,7.2
34,2024,Fossil brown coal / lignite,7.24
37,2015,Fossil coal-derived gas,0.38
38,2016,Fossil coal-derived gas,0.38
39,2017,Fossil coal-derived gas,0.38
40,2018,Fossil coal-derived gas,0.38
41,2019,Fossil coal-derived gas,0.38
42,2020,Fossil coal-derived gas,0.38
43,2021,Fossil coal-derived gas,0.38
44,2022,Fossil coal-derived gas,0.38
45,2023,Fossil coal-derived gas,0.38
46,2024,Fossil coal-derived gas,0.38
49,2015,Fossil hard coal,1.2
50,2016,Fossil hard coal,1.2
51,2017,Fossil hard coal,1.2
52,2018,Fossil hard coal,1.2
53,2019,Fossil hard coal,1.2
54,2020,Fossil hard coal,1.2
55,2021,Fossil hard coal,1.2
56,2022,Fossil hard coal,1.2
57,2023,Fossil hard coal,1.2
58,2024,Fossil hard coal,1.2
61,2015,Fossil oil,0.0
62,2016,Fossil oil,0.0
63,2017,Fossil oil,0.0
64,2018,Fossil oil,0.0
65,2019,Fossil oil,0.0
66,2020,Fossil oil,0.0
67,2021,Fossil oil,0.0
68,2022,Fossil oil,0.0
69,2023,Fossil oil,0.0
70,2024,Fossil oil,0.0
73,2015,Fossil gas,1.23
74,2016,Fossil gas,1.23
75,2017,Fossil gas,1.23
76,2018,Fossil gas,1.23
77,2019,Fossil gas,1.23
78,2020,Fossil gas,1.23
79,2021,Fossil gas,1.24
80,2022,Fossil gas,1.24
81,2023,Fossil gas,1.24
82,2024,Fossil gas,1.24
85,2015,Hydro water reservoir,0.65
86,2016,Hydro water reservoir,0.75
87,2017,Hydro water reservoir,0.75
88,2018,Hydro water reservoir,0.75
89,2019,Hydro water reservoir,0.75
90,2020,Hydro water reservoir,0.75
91,2021,Hydro water reservoir,0.75
92,2022,Hydro water reservoir,0.77
93,2023,Hydro water reservoir,0.77
94,2024,Hydro water reservoir,0.77
97,2015,Hydro pumped storage,1.17
98,2016,Hydro pumped storage,1.17
99,2017,Hydro pumped storage,1.17
100,2018,Hydro pumped storage,1.17
101,2019,Hydro pumped storage,1.17
102,2020,Hydro pumped storage,1.17
103,2021,Hydro pumped storage,1.17
104,2022,Hydro pumped storage,1.17
105,2023,Hydro pumped storage,1.17
106,2024,Hydro pumped storage,1.17
109,2015,Others,0.0
110,2016,Others,0.0
111,2017,Others,0.0
112,2018,Others,0.0
113,2019,Others,0.0
114,2020,Others,0.0
115,2021,Others,0.0
116,2022,Others,0.0
117,2023,Others,0.0
118,2024,Others,0.0
121,2015,Other renewables,0.5
122,2016,Other renewables,0.4
123,2017,Other renewables,0.4
124,2018,Other renewables,0.4
125,2019,Other renewables,0.41
126,2020,Other renewables,0.41
127,2021,Other renewables,0.41
128,2022,Other renewables,0.41
129,2023,Other renewables,0.46
130,2024,Other renewables,0.46
133,2015,Waste,0.0
134,2016,Waste,0.1
135,2017,Waste,0.1
136,2018,Waste,0.1
137,2019,Waste,0.1
138,2020,Waste,0.1
139,2021,Waste,0.1
140,2022,Waste,0.1
141,2023,Waste,0.1
142,2024,Waste,0.1
145,2015,Wind onshore,0.28
146,2016,Wind onshore,0.28
147,2017,Wind onshore,0.31
148,2018,Wind onshore,0.32
149,2019,Wind onshore,0.34
150,2020,Wind onshore,0.34
151,2021,Wind onshore,0.34
152,2022,Wind onshore,0.34
153,2023,Wind onshore,0.34
154,2024,Wind onshore,0.37
157,2015,Solar AC,2.07
158,2016,Solar AC,2.03
159,2017,Solar AC,2.04
160,2018,Solar AC,2.05
161,2019,Solar AC,2.06
162,2020,Solar AC,2.05
163,2021,Solar AC,2.05
164,2022,Solar AC,2.08
165,2023,Solar AC,3.55
166,2024,Solar AC,4.42
