year,Biomass,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Hydro pumped storage,Hydro water reservoir,Nuclear,Other renewables,Others,Solar AC,Waste,Wind onshore
2015,0.35,8.33,0.38,1.23,1.2,0.0,1.17,0.65,4.04,0.5,0.0,2.07,0.0,0.28
2016,0.35,7.93,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.4,0.0,2.03,0.1,0.28
2017,0.35,8.54,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.4,0.0,2.04,0.1,0.31
2018,0.4,8.45,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.4,0.0,2.05,0.1,0.32
2019,0.41,8.15,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.41,0.0,2.06,0.1,0.34
2020,0.41,7.7,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.41,0.0,2.05,0.1,0.34
2021,0.41,7.25,0.38,1.24,1.2,0.0,1.17,0.75,4.04,0.41,0.0,2.05,0.1,0.34
2022,0.41,7.16,0.38,1.24,1.2,0.0,1.17,0.77,4.04,0.41,0.0,2.08,0.1,0.34
2023,0.41,7.2,0.38,1.24,1.2,0.0,1.17,0.77,4.04,0.46,0.0,3.55,0.1,0.34
2024,0.41,7.24,0.38,1.24,1.2,0.0,1.17,0.77,4.04,0.46,0.0,4.42,0.1,0.37
