date,cz_da_price_eur_mwh
2015-01-01,20.6
2015-01-02,12.27
2015-01-03,18.29
2015-01-04,13.42
2015-01-05,39.03
2015-01-06,36.37
2015-01-07,38.62
2015-01-08,27.38
2015-01-09,22.09
2015-01-10,9.32
2015-01-11,4.6
2015-01-12,24.2
2015-01-13,27.77
2015-01-14,30.47
2015-01-15,25.3
2015-01-16,35.24
2015-01-17,30.82
2015-01-18,27.36
2015-01-19,42.85
2015-01-20,44.77
2015-01-21,44.46
2015-01-22,44.39
2015-01-23,42.91
2015-01-24,30.49
2015-01-25,26.55
2015-01-26,35.4
2015-01-27,34.54
2015-01-28,28.14
2015-01-29,27.73
2015-01-30,38.42
2015-01-31,29.9
2015-02-01,25.92
2015-02-02,37.77
2015-02-03,46.05
2015-02-04,48.35
2015-02-05,44.61
2015-02-06,39.71
2015-02-07,25.18
2015-02-08,15.76
2015-02-09,29.1
2015-02-10,41.84
2015-02-11,46.44
2015-02-12,44.6
2015-02-13,40.2
2015-02-14,31.22
2015-02-15,27.04
2015-02-16,37.62
2015-02-17,44.04
2015-02-18,42.31
2015-02-19,37.63
2015-02-20,33.57
2015-02-21,27.74
2015-02-22,28.94
2015-02-23,32.94
2015-02-24,33.04
2015-02-25,42.6
2015-02-26,38.11
2015-02-27,40.12
2015-02-28,28.85
2015-03-01,11.84
2015-03-02,26.89
2015-03-03,28.63
2015-03-04,28.92
2015-03-05,37.15
2015-03-06,37.2
2015-03-07,25.19
2015-03-08,19.2
2015-03-09,35.94
2015-03-10,36.73
2015-03-11,35.06
2015-03-12,37.02
2015-03-13,37.66
2015-03-14,30.07
2015-03-15,20.43
2015-03-16,30.4
2015-03-17,33.74
2015-03-18,35.14
2015-03-19,38.88
2015-03-20,35.99
2015-03-21,29.43
2015-03-22,27.34
2015-03-23,36.09
2015-03-24,41.15
2015-03-25,36.62
2015-03-26,40.28
2015-03-27,34.29
2015-03-28,26.91
2015-03-29,11.49
2015-03-30,22.33
2015-03-31,20.91
2015-04-01,17.73
2015-04-02,33.1
2015-04-03,28.44
2015-04-04,31.31
2015-04-05,21.54
2015-04-06,23.99
2015-04-07,36.74
2015-04-08,39.73
2015-04-09,40.33
2015-04-10,35.8
2015-04-11,22.44
2015-04-12,15.09
2015-04-13,23.38
2015-04-14,30.64
2015-04-15,26.21
2015-04-16,34.47
2015-04-17,37.23
2015-04-18,24.24
2015-04-19,16.92
2015-04-20,32.18
2015-04-21,29.01
2015-04-22,35.22
2015-04-23,35.37
2015-04-24,33.05
2015-04-25,28.93
2015-04-26,23.3
2015-04-27,34.44
2015-04-28,37.86
2015-04-29,33.03
2015-04-30,33.6
2015-05-01,24.11
2015-05-02,26.17
2015-05-03,17.04
2015-05-04,31.01
2015-05-05,26.42
2015-05-06,28.09
2015-05-07,26.83
2015-05-08,30.12
2015-05-09,16.29
2015-05-10,7.81
2015-05-11,30.46
2015-05-12,27.8
2015-05-13,27.0
2015-05-14,21.6
2015-05-15,29.67
2015-05-16,18.87
2015-05-17,11.8
2015-05-18,29.71
2015-05-19,29.12
2015-05-20,36.0
2015-05-21,33.59
2015-05-22,32.46
2015-05-23,24.54
2015-05-24,18.22
2015-05-25,20.61
2015-05-26,30.88
2015-05-27,32.14
2015-05-28,29.55
2015-05-29,30.83
2015-05-30,19.95
2015-05-31,18.23
2015-06-01,33.66
2015-06-02,24.14
2015-06-03,28.95
2015-06-04,29.56
2015-06-05,29.99
2015-06-06,24.97
2015-06-07,19.68
2015-06-08,33.03
2015-06-09,34.67
2015-06-10,33.38
2015-06-11,33.54
2015-06-12,33.6
2015-06-13,24.57
2015-06-14,18.38
2015-06-15,34.28
2015-06-16,35.66
2015-06-17,32.91
2015-06-18,33.3
2015-06-19,31.58
2015-06-20,26.75
2015-06-21,23.55
2015-06-22,36.29
2015-06-23,33.12
2015-06-24,32.78
2015-06-25,36.13
2015-06-26,36.15
2015-06-27,27.89
2015-06-28,23.29
2015-06-29,37.58
2015-06-30,36.74
2015-07-01,34.14
2015-07-02,34.02
2015-07-03,41.74
2015-07-04,38.51
2015-07-05,28.28
2015-07-06,40.81
2015-07-07,44.92
2015-07-08,31.42
2015-07-09,28.94
2015-07-10,34.32
2015-07-11,32.31
2015-07-12,27.88
2015-07-13,48.81
2015-07-14,55.13
2015-07-15,46.15
2015-07-16,48.6
2015-07-17,39.15
2015-07-18,32.61
2015-07-19,27.44
2015-07-20,43.01
2015-07-21,52.35
2015-07-22,48.65
2015-07-23,47.18
2015-07-24,48.46
2015-07-25,19.46
2015-07-26,15.9
2015-07-27,29.89
2015-07-28,25.98
2015-07-29,31.68
2015-07-30,26.92
2015-07-31,33.05
2015-08-01,25.56
2015-08-02,20.27
2015-08-03,31.6
2015-08-04,31.52
2015-08-05,34.54
2015-08-06,34.2
2015-08-07,34.42
2015-08-08,25.05
2015-08-09,22.82
2015-08-10,34.89
2015-08-11,36.5
2015-08-12,38.77
2015-08-13,35.07
2015-08-14,42.78
2015-08-15,28.73
2015-08-16,29.74
2015-08-17,43.42
2015-08-18,42.35
2015-08-19,41.83
2015-08-20,37.79
2015-08-21,31.53
2015-08-22,24.84
2015-08-23,13.99
2015-08-24,30.1
2015-08-25,27.73
2015-08-26,30.23
2015-08-27,33.37
2015-08-28,37.96
2015-08-29,31.23
2015-08-30,27.38
2015-08-31,53.1
2015-09-01,36.07
2015-09-02,42.02
2015-09-03,40.78
2015-09-04,34.03
2015-09-05,20.81
2015-09-06,3.5
2015-09-07,37.21
2015-09-08,38.11
2015-09-09,35.42
2015-09-10,32.27
2015-09-11,32.83
2015-09-12,29.13
2015-09-13,27.14
2015-09-14,33.0
2015-09-15,27.76
2015-09-16,33.79
2015-09-17,28.68
2015-09-18,44.89
2015-09-19,31.09
2015-09-20,28.2
2015-09-21,42.27
2015-09-22,37.09
2015-09-23,41.18
2015-09-24,40.54
2015-09-25,36.97
2015-09-26,32.06
2015-09-27,26.53
2015-09-28,34.47
2015-09-29,35.86
2015-09-30,38.35
2015-10-01,39.44
2015-10-02,37.3
2015-10-03,29.03
2015-10-04,28.01
2015-10-05,38.52
2015-10-06,37.74
2015-10-07,41.28
2015-10-08,46.5
2015-10-09,45.56
2015-10-10,32.78
2015-10-11,25.22
2015-10-12,37.65
2015-10-13,42.13
2015-10-14,45.77
2015-10-15,43.6
2015-10-16,49.02
2015-10-17,37.98
2015-10-18,34.11
2015-10-19,48.32
2015-10-20,48.34
2015-10-21,42.42
2015-10-22,36.67
2015-10-23,37.67
2015-10-24,32.34
2015-10-25,29.67
2015-10-26,39.65
2015-10-27,39.02
2015-10-28,40.99
2015-10-29,48.29
2015-10-30,45.42
2015-10-31,31.14
2015-11-01,32.82
2015-11-02,44.17
2015-11-03,43.72
2015-11-04,41.22
2015-11-05,42.75
2015-11-06,38.1
2015-11-07,28.78
2015-11-08,23.23
2015-11-09,36.73
2015-11-10,35.94
2015-11-11,41.35
2015-11-12,39.23
2015-11-13,42.62
2015-11-14,31.26
2015-11-15,30.36
2015-11-16,35.03
2015-11-17,32.44
2015-11-18,28.56
2015-11-19,30.26
2015-11-20,37.07
2015-11-21,33.57
2015-11-22,26.73
2015-11-23,44.27
2015-11-24,37.52
2015-11-25,44.42
2015-11-26,47.5
2015-11-27,38.74
2015-11-28,27.79
2015-11-29,18.38
2015-11-30,29.54
2015-12-01,36.56
2015-12-02,35.71
2015-12-03,41.96
2015-12-04,32.39
2015-12-05,21.0
2015-12-06,16.05
2015-12-07,41.02
2015-12-08,35.65
2015-12-09,34.76
2015-12-10,32.98
2015-12-11,33.31
2015-12-12,26.68
2015-12-13,26.41
2015-12-14,42.55
2015-12-15,42.83
2015-12-16,35.58
2015-12-17,33.33
2015-12-18,32.29
2015-12-19,26.94
2015-12-20,22.65
2015-12-21,30.05
2015-12-22,22.88
2015-12-23,23.53
2015-12-24,16.58
2015-12-25,13.25
2015-12-26,8.97
2015-12-27,15.74
2015-12-28,29.62
2015-12-29,30.33
2015-12-30,28.12
2015-12-31,21.75
2016-01-01,18.04
2016-01-02,28.78
2016-01-03,19.8
2016-01-04,39.44
2016-01-05,35.4
2016-01-06,35.71
2016-01-07,39.87
2016-01-08,35.15
2016-01-09,29.01
2016-01-10,32.4
2016-01-11,33.72
2016-01-12,30.88
2016-01-13,30.58
2016-01-14,32.52
2016-01-15,39.61
2016-01-16,28.3
2016-01-17,26.9
2016-01-18,41.05
2016-01-19,41.07
2016-01-20,49.49
2016-01-21,55.47
2016-01-22,36.81
2016-01-23,28.43
2016-01-24,25.27
2016-01-25,32.52
2016-01-26,26.24
2016-01-27,24.98
2016-01-28,28.8
2016-01-29,23.42
2016-01-30,18.46
2016-01-31,20.52
2016-02-01,29.66
2016-02-02,26.61
2016-02-03,26.59
2016-02-04,28.5
2016-02-05,30.32
2016-02-06,17.9
2016-02-07,8.94
2016-02-08,25.96
2016-02-09,29.03
2016-02-10,25.49
2016-02-11,26.51
2016-02-12,31.07
2016-02-13,22.09
2016-02-14,12.42
2016-02-15,25.31
2016-02-16,29.82
2016-02-17,24.89
2016-02-18,25.82
2016-02-19,25.84
2016-02-20,12.87
2016-02-21,7.54
2016-02-22,18.95
2016-02-23,23.51
2016-02-24,24.43
2016-02-25,27.68
2016-02-26,27.33
2016-02-27,22.39
2016-02-28,16.68
2016-02-29,23.55
2016-03-01,23.43
2016-03-02,23.42
2016-03-03,28.36
2016-03-04,24.37
2016-03-05,22.05
2016-03-06,16.68
2016-03-07,28.9
2016-03-08,28.15
2016-03-09,24.96
2016-03-10,26.88
2016-03-11,26.82
2016-03-12,24.53
2016-03-13,20.78
2016-03-14,26.4
2016-03-15,26.8
2016-03-16,25.27
2016-03-17,27.11
2016-03-18,25.45
2016-03-19,23.4
2016-03-20,18.48
2016-03-21,25.34
2016-03-22,28.09
2016-03-23,27.9
2016-03-24,27.93
2016-03-25,23.76
2016-03-26,18.21
2016-03-27,3.77
2016-03-28,6.17
2016-03-29,23.35
2016-03-30,29.53
2016-03-31,29.02
2016-04-01,27.81
2016-04-02,21.06
2016-04-03,17.65
2016-04-04,27.26
2016-04-05,28.1
2016-04-06,23.13
2016-04-07,23.37
2016-04-08,28.78
2016-04-09,23.9
2016-04-10,19.53
2016-04-11,26.01
2016-04-12,29.38
2016-04-13,28.56
2016-04-14,27.13
2016-04-15,24.71
2016-04-16,17.26
2016-04-17,18.05
2016-04-18,23.88
2016-04-19,21.59
2016-04-20,23.02
2016-04-21,25.64
2016-04-22,26.3
2016-04-23,24.02
2016-04-24,17.43
2016-04-25,27.6
2016-04-26,29.34
2016-04-27,29.56
2016-04-28,29.35
2016-04-29,26.93
2016-04-30,24.49
2016-05-01,17.16
2016-05-02,27.57
2016-05-03,27.19
2016-05-04,28.93
2016-05-05,24.81
2016-05-06,23.17
2016-05-07,17.27
2016-05-08,7.71
2016-05-09,30.7
2016-05-10,28.19
2016-05-11,25.72
2016-05-12,26.6
2016-05-13,26.65
2016-05-14,12.6
2016-05-15,1.86
2016-05-16,29.32
2016-05-17,31.62
2016-05-18,31.73
2016-05-19,31.76
2016-05-20,29.0
2016-05-21,20.39
2016-05-22,12.08
2016-05-23,29.85
2016-05-24,31.54
2016-05-25,31.72
2016-05-26,27.47
2016-05-27,29.33
2016-05-28,23.34
2016-05-29,13.42
2016-05-30,27.68
2016-05-31,28.82
2016-06-01,30.77
2016-06-02,33.49
2016-06-03,29.34
2016-06-04,24.71
2016-06-05,20.33
2016-06-06,34.23
2016-06-07,34.12
2016-06-08,38.7
2016-06-09,39.05
2016-06-10,30.9
