date,eua_eur_per_tco2
2015-01-02,8.15
2015-01-05,8.03
2015-01-06,7.88
2015-01-07,7.87
2015-01-08,7.91
2015-01-09,7.8
2015-01-12,7.8
2015-01-13,8.47
2015-01-14,8.33
2015-01-15,8.3
2015-01-16,8.29
2015-01-19,8.39
2015-01-20,8.33
2015-01-21,8.48
2015-01-22,7.89
2015-01-23,7.9
2015-01-26,7.96
2015-01-27,7.94
2015-01-28,8.08
2015-01-29,8.2
2015-01-30,8.23
2015-02-02,8.08
2015-02-03,8.02
2015-02-04,7.84
2015-02-05,7.94
2015-02-06,7.89
2015-02-09,7.85
2015-02-10,8.04
2015-02-11,8.19
2015-02-12,8.4
2015-02-13,8.66
2015-02-16,8.69
2015-02-17,8.49
2015-02-18,8.51
2015-02-19,8.33
2015-02-20,8.3
2015-02-23,8.71
2015-02-24,8.44
2015-02-25,8.39
2015-02-26,8.02
2015-02-27,8.04
2015-03-02,7.53
2015-03-03,7.3
2015-03-04,7.58
2015-03-05,7.32
2015-03-06,7.38
2015-03-09,7.25
2015-03-10,7.37
2015-03-11,7.32
2015-03-12,6.96
2015-03-13,7.03
2015-03-16,7.02
2015-03-17,7.3
2015-03-18,7.3
2015-03-19,7.24
2015-03-20,7.6
2015-03-23,7.63
2015-03-24,7.64
2015-03-25,7.54
2015-03-26,7.53
2015-03-27,7.36
2015-03-30,7.46
2015-03-31,7.49
2015-04-01,7.71
2015-04-02,7.71
2015-04-07,7.65
2015-04-08,7.67
2015-04-09,7.57
2015-04-10,7.52
2015-04-13,7.33
2015-04-14,7.33
2015-04-15,7.39
2015-04-16,7.43
2015-04-17,7.35
2015-04-20,7.67
2015-04-21,7.63
2015-04-22,7.65
2015-04-23,7.83
2015-04-24,7.85
2015-04-27,7.74
2015-04-28,7.92
2015-04-29,8.05
2015-04-30,7.97
2015-05-04,8.48
2015-05-05,8.44
2015-05-06,8.41
2015-05-07,8.28
2015-05-08,8.41
2015-05-11,8.5
2015-05-12,8.51
2015-05-13,8.48
2015-05-14,8.43
2015-05-15,8.45
2015-05-18,8.47
2015-05-19,8.24
2015-05-20,8.19
2015-05-21,8.15
2015-05-22,8.12
2015-05-26,8.06
2015-05-27,8.01
2015-05-28,8.02
2015-05-29,8.15
2015-06-01,8.12
2015-06-02,8.34
2015-06-03,8.4
2015-06-04,8.3
2015-06-05,8.31
2015-06-08,8.37
2015-06-09,8.49
2015-06-10,8.5
2015-06-11,8.43
2015-06-12,8.51
2015-06-15,8.44
2015-06-16,8.32
2015-06-17,8.37
2015-06-18,8.35
2015-06-19,8.31
2015-06-22,8.39
2015-06-23,8.4
2015-06-24,8.38
2015-06-25,8.49
2015-06-26,8.43
2015-06-29,8.25
2015-06-30,8.34
2015-07-01,8.21
2015-07-02,8.17
2015-07-03,8.17
2015-07-06,8.09
2015-07-07,8.18
2015-07-08,8.21
2015-07-09,8.19
2015-07-10,8.33
2015-07-13,8.52
2015-07-14,8.47
2015-07-15,8.52
2015-07-16,8.4
2015-07-17,8.47
2015-07-20,8.75
2015-07-21,8.71
2015-07-22,8.72
2015-07-23,8.87
2015-07-24,8.77
2015-07-27,8.79
2015-07-28,8.79
2015-07-29,8.84
2015-07-30,8.65
2015-07-31,8.65
2015-08-03,8.83
2015-08-04,8.79
2015-08-05,8.7
2015-08-06,8.73
2015-08-07,8.64
2015-08-10,8.79
2015-08-11,8.99
2015-08-12,9.09
2015-08-13,9.1
2015-08-14,9.27
2015-08-17,9.17
2015-08-18,9.18
2015-08-19,9.25
2015-08-20,9.32
2015-08-21,9.12
2015-08-24,9.09
2015-08-25,9.16
2015-08-26,9.01
2015-08-27,8.96
2015-08-28,9.0
2015-08-31,8.96
2015-09-01,8.94
2015-09-02,9.08
2015-09-03,9.16
2015-09-04,9.07
2015-09-07,9.06
2015-09-08,9.22
2015-09-09,9.27
2015-09-10,9.29
2015-09-11,9.22
2015-09-14,9.21
2015-09-15,9.17
2015-09-16,9.22
2015-09-17,9.2
2015-09-18,9.09
2015-09-21,8.95
2015-09-22,8.98
2015-09-23,9.03
2015-09-24,8.97
2015-09-25,8.95
2015-09-28,8.85
2015-09-29,8.91
2015-09-30,9.12
2015-10-01,9.15
2015-10-02,9.11
2015-10-05,9.19
2015-10-06,9.2
2015-10-07,9.09
2015-10-08,9.11
2015-10-09,9.35
2015-10-12,9.31
2015-10-13,9.36
2015-10-14,9.46
2015-10-15,9.46
2015-10-16,9.42
2015-10-19,9.37
2015-10-20,9.48
2015-10-21,9.47
2015-10-22,9.52
2015-10-23,9.66
2015-10-26,9.71
2015-10-27,9.65
2015-10-28,9.62
2015-10-29,9.72
2015-10-30,9.71
2015-11-02,9.21
2015-11-03,9.06
2015-11-04,9.0
2015-11-05,9.07
2015-11-06,9.01
2015-11-09,8.93
2015-11-10,9.04
2015-11-11,9.05
2015-11-12,8.98
2015-11-13,9.0
2015-11-16,9.13
2015-11-17,9.21
2015-11-18,9.21
2015-11-19,9.25
2015-11-20,9.14
2015-11-23,9.19
2015-11-24,9.29
2015-11-25,9.25
2015-11-26,9.21
2015-11-27,9.19
2015-11-30,9.21
2015-12-01,9.3
2015-12-02,9.23
2015-12-03,9.33
2015-12-04,9.27
2015-12-07,9.16
2015-12-08,9.16
2015-12-09,9.14
2015-12-10,9.09
2015-12-11,8.78
2015-12-14,8.8
2015-12-15,8.91
2015-12-16,8.83
2015-12-17,8.78
2015-12-18,8.78
2015-12-21,8.9
2015-12-22,8.97
2015-12-23,8.94
2015-12-28,9.05
2015-12-29,9.0
2015-12-30,8.94
2016-01-04,8.74
2016-01-05,8.69
2016-01-06,8.43
2016-01-07,8.18
2016-01-08,8.06
2016-01-11,7.75
2016-01-12,7.71
2016-01-13,7.87
2016-01-14,7.69
2016-01-15,7.25
2016-01-18,7.29
2016-01-19,7.4
2016-01-20,6.85
2016-01-21,6.71
2016-01-22,6.85
2016-01-25,6.39
2016-01-26,6.58
2016-01-27,6.4
2016-01-28,6.57
2016-01-29,6.55
2016-02-01,6.3
2016-02-02,6.42
2016-02-03,6.22
2016-02-04,6.21
2016-02-05,6.15
2016-02-08,5.8
2016-02-09,5.48
2016-02-10,5.4
2016-02-11,5.24
2016-02-12,5.6
2016-02-15,5.32
2016-02-16,5.19
2016-02-17,5.64
2016-02-18,5.81
2016-02-19,5.71
2016-02-22,5.98
2016-02-23,5.41
2016-02-24,5.39
