datetime,Hydro pumped storage consumption,Cross border electricity trading,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Hydro water reservoir,Hydro pumped storage,Others,Other renewables,Waste,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation
2015-12-31 23:00:00,-0.0,-2087.6,3010.6,107.0,175.0,3309.4,532.6,7.0,230.7,215.1,32.9,4.8,100.7,257.4,20.4,37.1,0.0,5872.2,5835.2,10.6,7.7
2016-01-01 00:00:00,-112.9,-1871.0,3010.0,107.2,171.6,3106.8,525.0,7.0,225.5,213.0,32.4,0.0,101.2,257.6,20.4,40.7,0.0,5783.5,5742.8,10.7,7.9
2016-01-01 01:00:00,-331.2,-1810.8,3010.0,107.2,171.6,3137.7,526.3,7.0,224.7,213.4,32.2,0.0,101.3,257.6,20.4,34.0,0.0,5690.1,5656.1,10.8,7.8
2016-01-01 02:00:00,-487.5,-1788.8,3008.2,107.7,171.6,3176.8,537.7,7.0,205.4,218.1,30.9,0.0,101.1,253.4,19.5,31.3,0.0,5604.5,5573.2,10.8,7.7
2016-01-01 03:00:00,-581.2,-1796.3,3008.0,107.8,171.5,3233.0,538.7,7.0,223.0,218.8,30.6,0.0,100.3,251.3,19.5,26.2,0.0,5547.1,5520.9,10.8,7.5
2016-01-01 04:00:00,-584.3,-1856.0,3007.7,104.3,171.5,3220.8,541.2,7.0,223.7,222.9,42.1,0.0,100.2,251.1,18.6,26.6,0.0,5485.2,5458.7,11.0,7.6
2016-01-01 05:00:00,-687.1,-1798.9,3009.0,103.4,171.7,3228.0,541.2,7.0,243.1,222.0,51.2,0.0,102.2,251.7,17.7,24.2,0.0,5506.5,5482.3,11.1,7.7
2016-01-01 06:00:00,-659.0,-1811.0,3008.9,112.0,171.7,3161.2,537.9,7.0,240.7,224.7,41.2,0.0,104.3,252.3,17.7,24.0,1.1,5475.0,5449.9,11.2,7.7
2016-01-01 07:00:00,-950.1,-1382.0,3007.3,107.8,171.6,3035.8,524.5,7.0,236.2,224.2,51.3,0.0,104.2,250.9,17.7,25.6,8.8,5464.8,5430.4,11.4,8.0
2016-01-01 08:00:00,-912.5,-1114.0,3006.3,109.7,171.6,3123.5,536.3,7.0,240.9,231.2,44.1,0.0,103.9,252.0,17.7,19.1,38.0,5926.7,5869.6,10.9,8.1
2016-01-01 09:00:00,-5.0,-1752.8,3005.6,113.6,171.9,3162.0,536.7,7.1,240.3,232.2,35.5,0.0,111.0,254.6,17.8,20.1,72.1,6282.3,6190.0,10.8,8.5
2016-01-01 10:00:00,-0.0,-1829.6,3003.6,109.7,171.9,3210.3,529.0,7.1,239.2,228.5,33.8,219.3,110.0,254.7,18.6,14.1,98.1,6440.0,6327.9,10.7,8.6
2016-01-01 11:00:00,-0.0,-1780.3,3003.0,109.7,181.2,3352.3,535.6,7.1,243.1,235.9,33.9,0.7,111.3,255.7,19.5,10.8,130.7,6549.6,6408.1,11.2,8.9
2016-01-01 12:00:00,-0.0,-1647.9,3001.1,108.2,180.1,3324.8,529.1,7.1,241.6,234.8,34.0,0.0,111.2,256.3,19.5,8.5,113.6,6562.5,6440.4,10.8,8.7
2016-01-01 13:00:00,-0.0,-1506.0,2999.5,108.2,172.7,3298.7,527.4,7.1,241.5,230.9,33.9,66.7,111.1,256.5,19.5,6.0,63.6,6652.9,6583.3,9.8,8.1
