datetime,Hydro pumped storage consumption,Cross border electricity trading,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Hydro water reservoir,Hydro pumped storage,Other renewables,Waste,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation,Others
2021-12-31 23:00:00,-18.6,-1842.5,3447.2,125.3,255.7,2054.0,137.3,0.8,82.3,502.2,15.0,1.5,255.3,21.0,194.2,0.0,5333.2,5139.0,16.0,12.1,
2022-01-01 00:00:00,-312.6,-1624.1,3443.2,126.4,255.9,2072.9,138.7,0.0,70.0,504.9,15.2,0.0,255.0,21.1,201.3,0.0,5260.9,5059.5,16.4,12.2,
2022-01-01 01:00:00,-939.2,-1036.0,3444.2,125.3,256.6,2077.0,137.9,0.0,69.9,503.5,15.3,0.0,254.4,21.1,193.6,0.0,5187.0,4993.4,16.5,12.1,
2022-01-01 02:00:00,-1043.8,-984.1,3446.5,127.5,255.8,2056.5,135.7,0.0,70.0,506.0,14.1,0.0,253.0,21.2,179.8,0.0,5034.2,4854.4,16.7,11.9,
2022-01-01 03:00:00,-1097.7,-992.0,3446.0,129.8,256.7,2050.1,133.1,0.0,73.9,502.3,13.1,0.0,253.1,21.0,192.0,0.0,4991.3,4799.3,17.1,12.1,
2022-01-01 04:00:00,-1088.9,-992.4,3445.7,128.6,257.3,2078.0,133.3,0.0,7.7,514.5,14.1,0.0,254.9,21.1,169.3,0.0,4977.1,4807.8,16.8,11.9,
2022-01-01 05:00:00,-750.0,-1421.9,3446.7,127.2,262.5,2144.0,133.9,0.0,4.6,529.1,17.6,0.0,264.7,21.4,165.3,0.0,4997.8,4832.6,17.0,11.9,
2022-01-01 06:00:00,-23.2,-1955.4,3444.6,123.8,261.3,2070.2,131.9,0.0,4.6,528.6,31.1,0.0,264.6,21.2,145.1,2.2,5089.4,4942.1,16.5,11.9,
2022-01-01 07:00:00,-5.0,-1922.3,3441.4,121.9,258.8,2016.0,130.9,0.0,4.6,519.2,57.5,0.0,264.4,21.2,160.3,18.2,5175.1,4996.5,17.2,12.7,
2022-01-01 08:00:00,-4.9,-1708.8,3444.9,123.1,263.9,2152.6,133.0,0.0,9.2,523.5,56.3,0.0,262.5,21.3,145.2,103.6,5554.4,5305.6,17.4,13.3,
