datetime,B03,B06,B12,B15,B17,B20,Biomass,Fossil Brown coal,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river,Nuclear,Solar,Wind Onshore
2021-01-01 00:00:00+00:00,250.52,6.96,10.91,269.51,23.09,52.06,290.31,3421.71,313.74,194.33,0.05,148.33,3465.59,0.0,65.18
2021-01-01 01:00:00+00:00,252.62,7.66,10.84,271.28,23.38,52.37,285.42,3293.21,313.79,193.52,503.12,147.22,3464.14,,57.32
2021-01-01 02:00:00+00:00,247.76,6.83,10.81,269.98,23.45,52.07,291.37,3272.04,315.99,192.82,764.56,146.11,3467.12,,75.85
2021-01-01 03:00:00+00:00,253.32,,11.13,269.55,23.55,51.83,292.33,3319.59,316.46,197.39,952.19,144.96,3470.58,,69.6
2021-01-01 04:00:00+00:00,253.81,7.03,11.81,268.13,23.33,53.42,291.77,3359.34,320.25,197.37,945.57,144.86,3471.58,,58.46
2021-01-01 05:00:00+00:00,253.36,6.85,16.8,274.39,23.11,71.16,291.82,3380.5,333.98,198.48,1047.52,145.31,3472.87,,45.51
2021-01-01 06:00:00+00:00,238.48,7.06,46.01,276.43,23.02,74.98,293.02,3479.84,335.5,202.93,992.69,143.2,3476.34,2.2,59.4
2021-01-01 07:00:00+00:00,202.68,6.87,45.35,278.35,23.35,77.61,292.96,3366.23,336.39,201.71,623.2,142.13,3478.54,29.26,63.09
2021-01-01 08:00:00+00:00,240.92,6.85,26.73,280.3,23.24,76.4,292.12,3430.36,335.68,199.45,697.66,145.22,3478.78,142.13,61.47
2021-01-01 09:00:00+00:00,248.39,,99.22,281.52,23.33,76.73,292.05,3368.33,334.47,201.84,34.78,140.37,3479.07,235.02,51.48
2021-01-01 10:00:00+00:00,251.75,6.86,102.21,284.59,23.25,80.62,290.98,3449.38,338.15,203.66,0.0,139.04,3478.81,292.05,44.77
2021-01-01 11:00:00+00:00,247.5,6.87,93.27,284.52,23.49,79.36,291.26,3704.34,335.78,204.74,,140.73,3477.31,284.87,33.86
2021-01-01 12:00:00+00:00,273.11,6.86,96.38,281.78,23.45,73.1,291.48,3687.81,333.95,204.55,,140.54,3475.14,229.05,29.57
2021-01-01 13:00:00+00:00,252.0,,55.79,279.65,23.37,68.96,291.17,3605.58,331.96,198.83,,143.46,3474.41,132.84,32.11
2021-01-01 14:00:00+00:00,245.54,,120.26,282.25,23.28,74.61,291.26,3572.16,332.22,202.13,,140.38,3473.33,37.9,26.61
2021-01-01 15:00:00+00:00,266.63,,179.02,280.07,23.37,72.98,290.81,3597.91,331.79,204.05,65.35,139.15,3471.02,2.87,29.14
2021-01-01 16:00:00+00:00,278.08,,192.68,280.02,23.34,76.22,293.08,3691.78,343.84,203.39,0.0,138.72,3472.7,0.0,30.37
2021-01-01 17:00:00+00:00,280.0,6.94,203.94,285.82,23.45,83.49,291.64,3773.95,349.5,205.7,73.39,139.54,3473.01,,33.25
2021-01-01 18:00:00+00:00,272.33,6.87,197.88,286.53,23.29,85.26,292.48,3778.61,345.44,201.72,72.68,139.71,3469.95,,31.67
2021-01-01 19:00:00+00:00,283.71,7.09,137.93,285.22,23.32,80.77,290.7,3810.08,338.35,203.19,0.0,140.71,3472.39,,35.61
2021-01-01 20:00:00+00:00,282.18,6.86,24.25,281.45,23.26,69.93,291.19,3707.76,331.15,203.49,,147.76,3474.25,,31.3
2021-01-01 21:00:00+00:00,272.22,6.84,10.13,272.84,22.85,51.58,289.45,3576.89,312.86,205.51,,151.78,3470.37,,31.34
2021-01-01 22:00:00+00:00,264.42,7.32,9.97,272.18,23.68,50.06,290.34,3555.76,309.89,210.79,,149.57,3471.0,,27.37
2021-01-01 23:00:00+00:00,251.75,6.83,18.76,269.32,23.6,50.08,282.57,3346.61,309.78,211.33,,150.67,3473.08,,22.63
2021-01-02 00:00:00+00:00,248.63,6.81,9.89,269.04,23.5,50.83,278.81,3030.81,309.51,210.82,,150.69,3469.75,,29.7
2021-01-02 01:00:00+00:00,252.9,,9.81,269.07,23.44,51.37,281.33,2948.98,309.69,206.2,100.77,151.82,3466.03,,28.51
2021-01-02 02:00:00+00:00,251.7,,9.84,267.78,23.78,50.89,283.25,2994.92,309.67,208.68,100.62,,3466.72,,22.48
2021-01-02 03:00:00+00:00,248.92,,9.8,267.59,23.56,51.04,283.17,2970.05,308.1,208.03,60.17,150.71,3465.8,,23.49
2021-01-02 04:00:00+00:00,252.43,,9.75,268.17,23.62,51.69,284.24,3051.17,313.61,204.84,0.0,,,,24.6
2021-01-02 05:00:00+00:00,249.57,6.85,14.79,276.97,23.78,71.29,285.78,3361.53,333.13,203.32,,150.05,3467.25,,28.61
2021-01-02 06:00:00+00:00,250.09,6.87,42.32,281.5,24.18,78.44,293.5,3750.41,426.39,205.45,,146.96,3466.8,2.22,27.02
2021-01-02 07:00:00+00:00,239.47,6.88,43.02,282.6,24.33,80.09,293.94,3676.71,737.94,205.06,,145.76,3466.33,13.39,25.65
2021-01-02 08:00:00+00:00,252.83,6.93,155.87,282.87,24.34,78.52,293.29,3925.18,1056.71,210.39,167.3,139.98,3466.71,61.72,25.09
2021-01-02 09:00:00+00:00,255.88,6.9,177.99,285.93,24.19,83.56,296.17,4036.77,1145.18,217.27,72.59,138.04,3464.9,105.34,23.31
2021-01-02 10:00:00+00:00,256.18,,182.93,287.56,24.27,85.1,298.31,4095.42,1159.49,220.32,70.85,136.72,3464.81,120.51,22.02
2021-01-02 11:00:00+00:00,256.14,,179.07,287.31,24.23,86.62,296.47,4099.1,1164.94,217.93,167.05,138.0,3465.56,137.09,21.28
2021-01-02 12:00:00+00:00,254.64,,177.4,284.74,24.2,80.98,297.22,4081.13,1099.23,217.31,2.08,139.21,3461.88,153.4,22.57
2021-01-02 13:00:00+00:00,254.51,7.11,161.18,283.27,24.21,77.67,299.81,4067.41,1032.82,215.19,0.0,138.63,3459.85,60.91,23.05
2021-01-02 14:00:00+00:00,255.23,6.89,232.68,284.07,24.23,79.39,300.81,4074.51,1028.02,209.61,70.13,137.64,3459.53,11.78,26.0
2021-01-02 15:00:00+00:00,269.0,6.9,325.74,284.38,24.27,79.73,300.9,4085.66,1170.41,202.94,229.41,135.86,3456.94,2.36,26.62
2021-01-02 16:00:00+00:00,275.07,,316.06,285.31,24.2,86.87,301.04,4076.94,1169.22,211.81,530.6700000000001,136.01,3456.04,0.0,32.62
2021-01-02 17:00:00+00:00,270.89,,279.44,288.09,,86.58,,4071.69,1181.18,217.4,538.05,138.93,3456.47,,47.61
2021-01-02 18:00:00+00:00,267.2,,299.03,287.68,24.01,85.11,300.84,3945.83,1125.69,222.61,292.52,137.43,3453.05,,51.91
2021-01-02 19:00:00+00:00,242.87,8.71,250.0,284.84,23.56,81.04,302.01,3989.57,453.25,218.92,829.82,138.39,3452.79,,51.24
2021-01-02 20:00:00+00:00,243.87,6.89,132.59,281.66,23.86,73.44,297.07,3941.85,335.93,217.87,660.29,142.1,3452.3,,49.17
2021-01-02 21:00:00+00:00,243.58,6.86,21.86,275.58,23.56,54.83,296.38,3850.66,313.76,216.72,104.57,150.29,3452.43,,50.31
2021-01-02 22:00:00+00:00,242.36,6.85,10.26,273.48,23.64,50.96,287.89,3722.93,309.56,211.71,0.0,150.65,3450.35,,51.6
2021-01-02 23:00:00+00:00,251.34,8.04,9.99,269.74,23.37,50.09,283.4,3059.3,307.21,209.05,10.67,151.79,3425.48,,57.26
2021-01-03 00:00:00+00:00,248.86,8.49,9.93,270.28,23.2,50.42,283.22,2971.26,305.82,214.07,512.56,151.8,3414.26,,66.83
2021-01-03 01:00:00+00:00,253.11,8.82,9.91,269.67,23.13,50.46,282.3,2945.68,308.25,214.77,748.35,151.81,3445.38,,75.94
2021-01-03 02:00:00+00:00,251.64,6.8,9.92,269.03,23.16,51.04,282.01,2851.66,308.03,213.35,775.04,150.69,3448.48,,91.61
2021-01-03 03:00:00+00:00,252.64,,9.91,269.17,22.99,50.81,281.09,2837.92,309.31,216.69,1009.12,,3449.12,,91.04
2021-01-03 04:00:00+00:00,258.32,,9.88,268.36,23.2,51.07,281.76,2778.23,310.99,214.6,927.03,150.7,3448.47,,85.16
2021-01-03 05:00:00+00:00,252.6,6.82,14.94,274.16,23.43,69.47,282.56,2828.85,329.05,213.22,478.89,150.03,3450.06,,63.7
2021-01-03 06:00:00+00:00,238.74,,30.02,276.37,24.04,71.87,282.53,2765.38,325.77,217.6,396.15,145.98,3450.97,2.22,55.99
2021-01-03 07:00:00+00:00,237.81,6.83,32.95,278.22,24.08,76.07,282.03,2874.79,320.04,223.12,300.77,149.05,3450.41,6.03,48.93
2021-01-03 08:00:00+00:00,246.55,6.85,26.07,281.45,24.27,81.41,285.78,3275.16,329.69,226.2,4.99,147.55,3450.59,36.31,43.9
2021-01-03 09:00:00+00:00,251.98,7.03,69.02,282.01,24.24,80.69,288.16,3445.74,332.16,209.96,0.0,143.53,3454.87,84.12,43.21
2021-01-03 10:00:00+00:00,254.75,7.88,61.79,284.18,24.35,83.53,293.42,3708.33,340.14,215.49,76.74,146.38,3454.76,89.38,38.0
2021-01-03 11:00:00+00:00,252.75,7.18,12.4,283.87,24.26,82.42,294.9,3731.31,336.68,219.95,345.51,149.24,3457.48,92.59,25.31
2021-01-03 12:00:00+00:00,258.49,6.86,14.39,278.11,24.2,78.45,298.27,3470.56,330.94,217.82,603.33,151.22,3454.35,80.28,18.21
2021-01-03 13:00:00+00:00,262.32,6.85,14.71,273.89,24.29,69.82,286.71,3432.78,327.82,217.41,94.22,151.17,3449.19,44.28,14.71
2021-01-03 14:00:00+00:00,264.09,6.86,14.63,275.29,24.27,72.05,292.3,3670.1,331.56,218.82,569.94,152.3,3457.4,8.34,14.73
2021-01-03 15:00:00+00:00,264.64,,119.82,277.18,24.29,76.79,290.47,3728.26,335.89,217.73,571.69,146.15,3452.5,2.46,12.88
2021-01-03 16:00:00+00:00,283.36,6.87,138.42,283.33,24.39,84.97,298.47,3798.58,345.64,217.13,751.33,144.14,3453.78,0.0,15.86
2021-01-03 17:00:00+00:00,284.03,6.88,149.33,286.43,24.28,86.59,300.02,3855.49,348.11,213.19,759.2,142.53,3465.62,,14.68
2021-01-03 18:00:00+00:00,297.52,6.87,89.21,286.06,23.57,84.53,301.15,3842.86,344.31,211.1,372.49,145.57,3461.9,,14.49
2021-01-03 19:00:00+00:00,279.08,6.89,73.55,283.9,23.53,80.32,304.87,3704.74,337.61,212.32,470.82,146.62,3459.07,,16.61
2021-01-03 20:00:00+00:00,288.23,7.26,12.69,280.3,23.11,71.95,305.99,3663.89,326.56,211.01,0.0,151.44,3458.0,,17.57
2021-01-03 21:00:00+00:00,286.89,6.84,11.45,273.14,23.19,53.63,303.99,3524.24,312.01,214.52,0.12,151.6,3457.98,,14.71
2021-01-03 22:00:00+00:00,259.38,8.27,11.38,271.0,23.13,50.95,306.73,3514.42,308.44,217.19,322.55,151.61,3457.7,,13.97
2021-01-03 23:00:00+00:00,251.67,13.03,11.34,267.62,23.05,50.47,290.87,3315.81,310.07,216.93,989.05,,3459.37,,14.39
2021-01-04 00:00:00+00:00,243.26,11.81,11.3,262.43,23.24,50.91,304.03,3067.44,305.31,222.69,1060.13,151.62,3457.84,,14.76
2021-01-04 01:00:00+00:00,244.59,12.33,11.23,261.07,22.9,51.88,308.98,2851.88,306.88,226.08,1051.85,151.63,3456.5,,14.25
2021-01-04 02:00:00+00:00,230.46,11.17,11.56,260.98,23.04,51.85,307.93,2804.65,305.99,220.17,1043.39,150.47,3459.92,,13.37
2021-01-04 03:00:00+00:00,236.27,12.9,11.51,260.42,22.92,51.68,305.65,2984.35,309.6,245.29,1032.45,150.48,3458.73,,12.85
2021-01-04 04:00:00+00:00,253.36,14.77,11.56,262.55,23.45,53.34,308.93,3316.5,422.84,291.44,785.65,150.47,3456.31,,10.66
2021-01-04 05:00:00+00:00,292.02,13.58,19.9,272.97,23.26,81.61,310.97,3776.18,775.44,336.73,25.07,149.41,3459.24,,9.72
2021-01-04 06:00:00+00:00,289.75,17.14,141.58,277.19,24.14,85.43,311.57,4160.62,1067.85,417.72,0.0,138.25,3458.51,2.28,11.29
2021-01-04 07:00:00+00:00,269.87,19.16,223.13,282.27,24.42,90.18,314.57,4354.05,1190.81,412.75,204.75,139.02,3456.89,4.31,10.27
2021-01-04 08:00:00+00:00,277.64,17.85,235.01,282.7,24.43,90.65,311.02,4461.55,1193.73,392.04,410.05,136.44,3458.36,24.86,7.99
2021-01-04 09:00:00+00:00,276.27,17.0,236.98,283.85,24.42,90.28,308.62,4419.44,1190.86,392.79,303.9,136.39,3461.44,54.37,7.41
2021-01-04 10:00:00+00:00,281.25,13.25,215.43,285.95,10.43,86.1,174.38,4451.48,1174.27,403.79,335.83,0.0,3458.86,65.08,7.34
2021-01-04 11:00:00+00:00,277.85,17.96,197.75,285.82,24.57,89.34,314.15,4479.99,1203.1,398.54,379.19,137.42,3459.5,61.96,7.77
2021-01-04 12:00:00+00:00,275.61,16.88,193.84,285.49,24.52,87.99,314.9,4468.46,1186.78,388.61,387.12,139.83,3459.48,52.81,8.77
2021-01-04 13:00:00+00:00,274.73,16.15,190.64,285.27,24.45,87.87,313.85,4487.06,1180.61,385.34,201.11,139.93,3458.09,33.26,10.27
2021-01-04 14:00:00+00:00,274.2,15.85,266.47,286.16,23.61,87.42,311.8,4480.59,1178.42,384.77,415.88,139.19,3455.84,7.56,12.01
2021-01-04 15:00:00+00:00,276.44,16.56,340.93,286.49,24.01,88.18,313.78,4556.22,1183.29,386.15,527.06,140.2,3453.7,2.63,14.72
2021-01-04 16:00:00+00:00,275.58,16.53,339.84,287.73,23.96,90.06,311.41,4545.34,1187.28,386.65,545.02,139.08,3453.82,0.0,16.47
2021-01-04 17:00:00+00:00,274.75,15.93,198.0,290.52,23.48,90.48,309.28,4540.49,1177.52,388.38,360.4,140.86,3453.11,,21.38
2021-01-04 18:00:00+00:00,274.08,15.8,181.92,289.9,23.83,89.74,309.25,4509.95,1184.46,376.87,239.44,141.36,3452.58,,23.57
2021-01-04 19:00:00+00:00,270.08,14.43,89.16,289.56,23.08,87.14,308.49,4482.12,1181.18,387.36,267.68,145.57,3450.97,,26.44
2021-01-04 20:00:00+00:00,292.97,16.97,74.81,285.71,23.18,79.34,308.05,4446.13,1172.63,404.74,82.07,145.39,3454.01,,30.25
2021-01-04 21:00:00+00:00,298.42,18.81,28.11,275.88,23.6,58.07,308.43,4425.3,852.14,408.16,85.68,149.57,3452.28,,33.93
2021-01-04 22:00:00+00:00,299.27,20.79,22.57,274.2,23.44,56.22,306.43,3978.61,324.86,371.29,0.11,150.21,3451.33,,42.1
2021-01-04 23:00:00+00:00,251.56,15.71,20.73,269.29,23.25,49.73,307.12,3542.1,313.0,316.65,685.43,139.2,3453.02,,42.8
2021-01-05 00:00:00+00:00,250.75,15.77,20.79,267.37,23.37,48.37,307.17,3559.32,310.7,322.18,1059.29,140.31,3452.84,,44.04
2021-01-05 01:00:00+00:00,249.38,15.25,20.5,266.48,23.26,47.95,307.8,3434.87,308.65,316.44,1056.43,142.6,3452.51,,45.86
2021-01-05 02:00:00+00:00,247.99,14.93,20.31,266.35,23.31,48.47,308.58,3372.74,308.76,316.92,1048.66,142.62,3454.06,,43.5
2021-01-05 03:00:00+00:00,250.78,15.85,20.16,266.43,23.28,50.49,310.08,3589.77,313.51,327.02,1039.0,141.52,3453.71,,40.42
2021-01-05 04:00:00+00:00,249.26,15.53,21.03,267.01,23.34,53.76,309.69,3665.21,321.96,328.22,925.46,140.29,3451.97,,40.96
2021-01-05 05:00:00+00:00,271.69,14.18,30.22,277.16,23.53,80.99,311.19,4039.22,588.75,346.48,102.53999999999999,136.92,3454.34,,43.17
2021-01-05 06:00:00+00:00,263.13,16.63,59.33,277.2,24.59,87.69,311.36,4498.59,1110.0,391.39,79.2,134.01,3457.38,2.16,43.65
2021-01-05 07:00:00+00:00,262.19,16.47,132.52,275.91,25.27,88.49,311.45,4530.73,1174.52,408.25,417.72,125.96,3457.79,4.81,33.22
2021-01-05 08:00:00+00:00,266.11,18.3,189.8,274.97,24.68,89.12,310.6,4546.22,1191.32,408.36,425.67,123.83,3463.95,29.39,31.94
2021-01-05 09:00:00+00:00,268.03,18.69,181.09,273.18,25.47,91.3,,4613.47,1189.6,405.6,451.65,131.03,3468.02,54.91,30.32
2021-01-05 10:00:00+00:00,265.89,17.73,106.51,277.71,24.99,91.02,309.81,4616.97,1180.06,404.94,532.56,134.2,3467.71,72.18,29.76
2021-01-05 11:00:00+00:00,262.94,17.32,106.63,280.72,25.02,90.25,309.41,4594.87,1186.2,403.33,487.91,134.19,3467.74,73.07,30.93
2021-01-05 12:00:00+00:00,267.36,18.83,111.62,281.91,24.76,90.07,309.36,4624.32,1185.12,405.97,386.47,132.77,3468.73,56.09,28.85
2021-01-05 13:00:00+00:00,262.06,16.82,113.58,284.06,24.19,91.44,308.91,4588.42,1191.86,389.27,246.9,133.81,3468.19,36.72,27.69
2021-01-05 14:00:00+00:00,262.13,16.85,163.89,284.29,24.85,90.76,309.04,4507.1,1185.72,397.36,70.19,131.62,3465.4,12.92,25.6
2021-01-05 15:00:00+00:00,262.41,17.19,240.41,284.42,24.64,89.82,308.95,4457.74,1187.5,405.78,464.65,128.27,3466.78,2.4,23.83
2021-01-05 16:00:00+00:00,261.41,16.56,256.27,285.24,25.28,89.62,309.96,4422.51,1187.65,409.43,411.82,126.77,3466.42,0.04,17.26
